meet_name,meet_url,year,month,state,level,season
Nike Portland XC Invite,https://or.milesplit.com/meets/206488-nike-portland-xc-invite-2015/results,2015,9,WA,HS,XC
Northwest Classic,https://or.milesplit.com/meets/216543-northwest-classic-2015/results,2015,9,WA,HS,XC
Evergreen 1A/2A Rochester,https://wa.milesplit.com/meets/219321-evergreen-1a2a-rochester-2015/results,2015,9,WA,HS,XC
"Wil,Timb,Cap,Yelm, Lin @ Oly",https://wa.milesplit.com/meets/219497-wiltimbcapyelm-lin-oly-2015/results,2015,9,WA,HS,XC
"Cascade, Arlington, Shorewood & Snohomish",https://wa.milesplit.com/meets/219310-cascade-arlington-shorewood-and-snohomish-2015/results,2015,9,WA,HS,XC
CWAC League - Eph/Qui/Top@Pro,https://wa.milesplit.com/meets/219373-cwac-league-ephquitoppro-2015/results,2015,9,WA,HS,XC
CWAC League: East Valley & Othello @ Selah,https://wa.milesplit.com/meets/219319-cwac-league-east-valley-and-othello-selah-2015/results,2015,9,WA,HS,XC
CWAC League: Wapato & Grandview @ Ellensburg,https://wa.milesplit.com/meets/219320-cwac-league-wapato-and-grandview-ellensburg-2015/results,2015,9,WA,HS,XC
Evergreen 1A/2A Aberdeen,https://wa.milesplit.com/meets/219857-evergreen-1a2a-aberdeen-2015/results,2015,9,WA,HS,XC
Garfield Meet,https://wa.milesplit.com/meets/219322-garfield-meet-2015/results,2015,9,WA,HS,XC
"Lynnwood, Jackson, Shorecrest @ Lynnwood",https://wa.milesplit.com/meets/219856-lynnwood-jackson-shorecrest-lynnwood-2015/results,2015,9,WA,HS,XC
MCC League Meet #1,https://wa.milesplit.com/meets/219323-mcc-league-meet-1-2015/results,2015,9,WA,HS,XC
"MGHS, Meadowdale, Mariner @ EWHS",https://wa.milesplit.com/meets/219371-mghs-meadowdale-mariner-ewhs-2015/results,2015,9,WA,HS,XC
"Pilchuck, Lk Stevens, Terrace",https://wa.milesplit.com/meets/219324-pilchuck-lk-stevens-terrace-2015/results,2015,9,WA,HS,XC
Seamount Dual Meet,https://wa.milesplit.com/meets/219858-seamount-dual-meet-2015/results,2015,9,WA,HS,XC
Seamount League meet,https://wa.milesplit.com/meets/219325-seamount-league-meet-2015/results,2015,9,WA,HS,XC
"Bham ""City Meet""",https://wa.milesplit.com/meets/219259-bham-city-meet-2015/results,2015,9,WA,HS,XC
"Bonney Lake, Peninsula, Auburn Riverside",https://www.milesplit.com/meets/219260-bonney-lake-peninsula-auburn-riverside-2015/results,2015,9,WA,HS,XC
"Bothell, Issaquah at Inglemoor",https://wa.milesplit.com/meets/219261-bothell-issaquah-at-inglemoor-2015/results,2015,9,WA,HS,XC
"Centralia, Tumwater at W.F. West",https://wa.milesplit.com/meets/219262-centralia-tumwater-at-wf-west-2015/results,2015,9,WA,HS,XC
Emerald Ridge vs Spanaway Lake,https://wa.milesplit.com/meets/219263-emerald-ridge-vs-spanaway-lake-2015/results,2015,9,WA,HS,XC
Federal Way vs. Mount Rainier,https://wa.milesplit.com/meets/219264-federal-way-vs-mount-rainier-2015/results,2015,9,WA,HS,XC
Franklin / Lakeside / Blanchet / Nathan Hale / Bainbridge,https://wa.milesplit.com/meets/219247-franklin-lakeside-blanchet-nathan-hale-bainbridge-2015/results,2015,9,WA,HS,XC
"GK, Bethel at Puyallup",https://wa.milesplit.com/meets/219265-gk-bethel-at-puyallup-2015/results,2015,9,WA,HS,XC
GNL East Valley at West Valley,https://wa.milesplit.com/meets/219266-gnl-east-valley-at-west-valley-2015/results,2015,9,WA,HS,XC
"GSL #2 NC, Ferris, CV",https://wa.milesplit.com/meets/219268-gsl-2-nc-ferris-cv-2015/results,2015,9,WA,HS,XC
GSL #2 Rogers vs. Mead,https://wa.milesplit.com/meets/219269-gsl-2-rogers-vs-mead-2015/results,2015,9,WA,HS,XC
"GSL #2 Shadle, GPrep @ LC",https://wa.milesplit.com/meets/219270-gsl-2-shadle-gprep-lc-2015/results,2015,9,WA,HS,XC
GSL #2 U-High/MSHS,https://wa.milesplit.com/meets/219271-gsl-2-u-highmshs-2015/results,2015,9,WA,HS,XC
"Interlake, LW @ Bellevue",https://wa.milesplit.com/meets/219272-interlake-lw-bellevue-2015/results,2015,9,WA,HS,XC
Juanita @ Liberty,https://wa.milesplit.com/meets/219273-juanita-liberty-2015/results,2015,9,WA,HS,XC
"Lakes, Sumner, Auburn Mountainview",https://wa.milesplit.com/meets/219274-lakes-sumner-auburn-mountainview-2015/results,2015,9,WA,HS,XC
Mtn View vs Union,https://wa.milesplit.com/meets/219161-mtn-view-vs-union-2015/results,2015,9,WA,HS,XC
"NWC LC,NV at Lynden",https://wa.milesplit.com/meets/219275-nwc-lcnv-at-lynden-2015/results,2015,9,WA,HS,XC
"NWC Meridian, Mt. Baker @ Blaine",https://wa.milesplit.com/meets/219276-nwc-meridian-mt-baker-blaine-2015/results,2015,9,WA,HS,XC
OL KHS vs BHS @ PAHS,https://wa.milesplit.com/meets/219277-ol-khs-vs-bhs-pahs-2015/results,2015,9,WA,HS,XC
OL NMHS vs PTHS @ KSS,https://wa.milesplit.com/meets/219278-ol-nmhs-vs-pths-kss-2015/results,2015,9,WA,HS,XC
OL OHS vs NKHS @ Sequim,https://wa.milesplit.com/meets/219279-ol-ohs-vs-nkhs-sequim-2015/results,2015,9,WA,HS,XC
Rogers at Curtis,https://wa.milesplit.com/meets/219280-rogers-at-curtis-2015/results,2015,9,WA,HS,XC
Roosevelt / O'Dea / Holy Names,https://wa.milesplit.com/meets/219281-roosevelt-odea-holy-names-2015/results,2015,9,WA,HS,XC
Tahoma vs. Kent-Meridian,https://wa.milesplit.com/meets/219246-tahoma-vs-kent-meridian-2015/results,2015,9,WA,HS,XC
Todd Beamer vs. Thomas Jefferson,https://wa.milesplit.com/meets/219244-todd-beamer-vs-thomas-jefferson-2015/results,2015,9,WA,HS,XC
Trico 1A hosted,https://wa.milesplit.com/meets/219241-trico-1a-hosted-by-castle-rock-2015/results,2015,9,WA,HS,XC
Trico 1A Hosted,https://wa.milesplit.com/meets/219240-trico-1a-hosted-by-kalama-2015/results,2015,9,WA,HS,XC
District 7 1B/2B @ Wellpinit,https://wa.milesplit.com/meets/219799-district-7-1b2b-wellpinit-2015/results,2015,9,WA,HS,XC
District 7 1B/2B at Northwest Christian,https://wa.milesplit.com/meets/219158-district-7-1b2b-at-northwest-christian-2015/results,2015,9,WA,HS,XC
ECL / Nisqually League Meet #2,https://wa.milesplit.com/meets/219800-ecl-nisqually-league-xc-meet-2-2015/results,2015,9,WA,HS,XC
ECL/Nisqually Meet,https://wa.milesplit.com/meets/219159-eclnisqually-meet-2015/results,2015,9,WA,HS,XC
GSHL 2A Meet,https://wa.milesplit.com/meets/219152-gshl-2a-meet-2015/results,2015,9,WA,HS,XC
"Heritage, Battleground at Evergreen",https://wa.milesplit.com/meets/219160-heritage-battleground-at-evergreen-2015/results,2015,9,WA,HS,XC
ob Nollan Classic Lewis & Clark Trail Race,https://wa.milesplit.com/meets/219282-ob-nollan-classic-lewis-and-clark-trail-race-2015/results,2015,9,WA,HS,XC
Skyview at Camas,https://wa.milesplit.com/meets/219174-skyview-at-camas-2015/results,2015,9,WA,HS,XC
Apple Ridge Invitational,https://wa.milesplit.com/meets/214283-apple-ridge-invitational-2015/results,2015,9,WA,HS,XC
Fort Steilacoom Invitational,https://wa.milesplit.com/meets/214284-fort-steilacoom-invitational-2015/results,2015,9,WA,HS,XC
Iolani Invitational at Kualoa Ranch,https://hi.milesplit.com/meets/217294-iolani-cross-country-invitational-at-kualoa-ranch-2015/results,2015,9,WA,HS,XC
Runners Soul Erik Anderson Invitational,https://wa.milesplit.com/meets/217122-runners-soul-erik-anderson-invitational-2015/results,2015,9,WA,HS,XC
Runners Soul Erik Anderson Invitational,https://wa.milesplit.com/meets/218964-runners-soul-erik-anderson-invitational-2015/results,2015,9,WA,HS,XC
Salt Creek Invitational,https://wa.milesplit.com/meets/214282-salt-creek-invitational-2015/results,2015,9,WA,HS,XC
