race_id,url,table_index,table_type,row_count,assigned_parser,detector_score
,https://wa.milesplit.com/meets/333737-cbb9-district-meet-2018/results,7,individual,61,katie_fallback,0.9
,https://wa.milesplit.com/meets/333737-cbb9-district-meet-2018/results,8,team,5,katie_fallback,0.9
,https://or.milesplit.com/meets/246846-saxon-invite-2016/results,,no_tables,0,katie_fallback,0.0
,https://wa.milesplit.com/meets/222015-nisqually-league-championship-2015/results,1,individual,57,katie_fallback,0.9
,https://wa.milesplit.com/meets/222015-nisqually-league-championship-2015/results,2,team,4,katie_fallback,0.9
,https://wa.milesplit.com/meets/222015-nisqually-league-championship-2015/results,3,individual,41,katie_fallback,0.9
,https://wa.milesplit.com/meets/222015-nisqually-league-championship-2015/results,4,team,4,katie_fallback,0.9
,https://wa.milesplit.com/meets/368307-carl-westling-invitational-2019/results,1,individual,86,katie_fallback,0.9
,https://wa.milesplit.com/meets/368307-carl-westling-invitational-2019/results,2,team,13,katie_fallback,0.9
,https://wa.milesplit.com/meets/368307-carl-westling-invitational-2019/results,3,individual,147,katie_fallback,0.9
,https://wa.milesplit.com/meets/368307-carl-westling-invitational-2019/results,4,team,21,katie_fallback,0.9
,https://wa.milesplit.com/meets/368307-carl-westling-invitational-2019/results,5,individual,529,katie_fallback,0.9
,https://wa.milesplit.com/meets/368307-carl-westling-invitational-2019/results,6,team,33,katie_fallback,0.9
,https://wa.milesplit.com/meets/368307-carl-westling-invitational-2019/results,7,individual,84,katie_fallback,0.9
,https://wa.milesplit.com/meets/368307-carl-westling-invitational-2019/results,8,team,13,katie_fallback,0.9
,https://wa.milesplit.com/meets/368307-carl-westling-invitational-2019/results,9,individual,90,katie_fallback,0.9
,https://wa.milesplit.com/meets/368307-carl-westling-invitational-2019/results,10,team,13,katie_fallback,0.9
,https://wa.milesplit.com/meets/368307-carl-westling-invitational-2019/results,11,individual,223,katie_fallback,0.9
,https://wa.milesplit.com/meets/368307-carl-westling-invitational-2019/results,12,team,21,katie_fallback,0.9
,https://wa.milesplit.com/meets/284676-newportnorthcreek-mount-si-2017/results,1,individual,106,katie_fallback,0.9
,https://wa.milesplit.com/meets/284676-newportnorthcreek-mount-si-2017/results,2,team,3,katie_fallback,0.9
,https://wa.milesplit.com/meets/284676-newportnorthcreek-mount-si-2017/results,3,individual,54,katie_fallback,0.9
,https://wa.milesplit.com/meets/284676-newportnorthcreek-mount-si-2017/results,4,team,3,katie_fallback,0.9
,https://wa.milesplit.com/meets/372937-okanogan-v-omak-2019/results,1,individual,16,katie_fallback,0.75
,https://wa.milesplit.com/meets/372937-okanogan-v-omak-2019/results,2,individual,6,katie_fallback,0.75
,https://wa.milesplit.com/meets/255975-4a-kingco-league-championships-2016/results,,no_tables,0,katie_fallback,0.0
