race_id,url,table_index,table_type,row_count,assigned_parser,detector_score
544225,https://www.milesplit.com/meets/284032-bob-firman-invitational-2017/results/544225/formatted/,3,team,44,katie_fallback,0.9
544225,https://www.milesplit.com/meets/284032-bob-firman-invitational-2017/results/544225/formatted/,4,individual,245,katie_fallback,0.9
544225,https://www.milesplit.com/meets/284032-bob-firman-invitational-2017/results/544225/formatted/,5,team,31,katie_fallback,0.9
543788,https://wa.milesplit.com/meets/285270-connell-invitational-2017/results/543788/formatted/,1,individual,7,katie_fallback,0.75
543788,https://wa.milesplit.com/meets/285270-connell-invitational-2017/results/543788/formatted/,2,individual,7,katie_fallback,0.75
543791,https://wa.milesplit.com/meets/285270-connell-invitational-2017/results/543791/formatted/,1,individual,134,katie_fallback,0.9
543791,https://wa.milesplit.com/meets/285270-connell-invitational-2017/results/543791/formatted/,2,team,9,katie_fallback,0.9
543791,https://wa.milesplit.com/meets/285270-connell-invitational-2017/results/543791/formatted/,3,individual,41,katie_fallback,0.9
543791,https://wa.milesplit.com/meets/285270-connell-invitational-2017/results/543791/formatted/,4,team,3,katie_fallback,0.9
543787,https://wa.milesplit.com/meets/285270-connell-invitational-2017/results/543787/formatted/,,cole,0,cole,0.8999999999999999
543792,https://wa.milesplit.com/meets/285270-connell-invitational-2017/results/543792/formatted/,1,individual,99,katie_fallback,0.9
543792,https://wa.milesplit.com/meets/285270-connell-invitational-2017/results/543792/formatted/,2,team,14,katie_fallback,0.9
543792,https://wa.milesplit.com/meets/285270-connell-invitational-2017/results/543792/formatted/,3,individual,65,katie_fallback,0.9
543792,https://wa.milesplit.com/meets/285270-connell-invitational-2017/results/543792/formatted/,4,team,7,katie_fallback,0.9
544339,https://wa.milesplit.com/meets/285286-kings-crossing-invitational-2017/results/544339/formatted/,1,individual,53,katie_fallback,0.9
544339,https://wa.milesplit.com/meets/285286-kings-crossing-invitational-2017/results/544339/formatted/,2,team,8,katie_fallback,0.9
544338,https://wa.milesplit.com/meets/285286-kings-crossing-invitational-2017/results/544338/formatted/,1,individual,50,katie_fallback,0.9
544338,https://wa.milesplit.com/meets/285286-kings-crossing-invitational-2017/results/544338/formatted/,2,team,6,katie_fallback,0.9
544338,https://wa.milesplit.com/meets/285286-kings-crossing-invitational-2017/results/544338/formatted/,3,individual,42,katie_fallback,0.9
544338,https://wa.milesplit.com/meets/285286-kings-crossing-invitational-2017/results/544338/formatted/,4,team,3,katie_fallback,0.9
543760,https://wa.milesplit.com/meets/285258-mount-baker-invitational-2017/results/543760/formatted/,1,individual,70,katie_fallback,0.9
543760,https://wa.milesplit.com/meets/285258-mount-baker-invitational-2017/results/543760/formatted/,2,team,5,katie_fallback,0.9
543760,https://wa.milesplit.com/meets/285258-mount-baker-invitational-2017/results/543760/formatted/,3,individual,28,katie_fallback,0.9
543760,https://wa.milesplit.com/meets/285258-mount-baker-invitational-2017/results/543760/formatted/,4,team,2,katie_fallback,0.9
543759,https://wa.milesplit.com/meets/285258-mount-baker-invitational-2017/results/543759/formatted/,,cole,0,cole,0.8999999999999999
543761,https://wa.milesplit.com/meets/285258-mount-baker-invitational-2017/results/543761/formatted/,1,individual,88,katie_fallback,0.9
543761,https://wa.milesplit.com/meets/285258-mount-baker-invitational-2017/results/543761/formatted/,2,team,9,katie_fallback,0.9
543761,https://wa.milesplit.com/meets/285258-mount-baker-invitational-2017/results/543761/formatted/,3,individual,52,katie_fallback,0.9
543761,https://wa.milesplit.com/meets/285258-mount-baker-invitational-2017/results/543761/formatted/,4,team,5,katie_fallback,0.9
